Date,Open,High,Low,Close,Adj Close,Volume
2022-03-28,7.600000,7.710000,7.500000,7.680000,7.680000,6472126
2022-03-29,7.680000,7.690000,7.400000,7.500000,7.500000,7648800
2022-03-30,7.570000,7.820000,7.570000,7.770000,7.770000,7816350
2022-03-31,7.780000,7.780000,7.660000,7.710000,7.710000,4356400
2022-04-01,7.680000,7.780000,7.580000,7.780000,7.780000,5055683
2022-04-04,7.780000,7.870000,7.730000,7.810000,7.810000,5172424
2022-04-06,7.790000,7.840000,7.600000,7.730000,7.730000,7613722
2022-04-07,7.750000,7.750000,7.480000,7.530000,7.530000,5815539
2022-04-08,7.530000,7.590000,7.400000,7.590000,7.590000,4968608
2022-04-11,7.590000,7.590000,7.330000,7.340000,7.340000,7487000
2022-04-12,7.350000,7.680000,7.300000,7.650000,7.650000,9322154
2022-04-13,7.610000,7.680000,7.570000,7.680000,7.680000,5496759
2022-04-14,7.770000,7.770000,7.600000,7.700000,7.700000,9638169
2022-04-19,7.670000,7.670000,7.500000,7.530000,7.530000,6138653
2022-04-20,7.550000,7.560000,7.370000,7.390000,7.390000,13493182
2022-04-21,7.440000,7.450000,7.360000,7.370000,7.370000,7023450
2022-04-22,7.370000,7.450000,7.260000,7.390000,7.390000,5173630
2022-04-25,7.470000,7.750000,7.450000,7.660000,7.660000,17123776
2022-04-26,7.780000,7.890000,7.680000,7.810000,7.810000,15883646
2022-04-27,7.770000,7.980000,7.650000,7.960000,7.960000,15309414
2022-04-28,7.970000,7.970000,7.770000,7.840000,7.840000,4428000
2022-04-29,7.870000,7.910000,7.670000,7.880000,7.880000,7346453
2022-05-03,7.880000,8.100000,7.880000,8.100000,8.100000,10217103
2022-05-04,8.090000,8.150000,8.050000,8.100000,8.100000,5840659
2022-05-05,8.120000,8.450000,8.120000,8.230000,8.230000,22940398
2022-05-06,8.060000,8.060000,7.880000,7.900000,7.900000,11542485
2022-05-10,7.800000,7.850000,7.620000,7.800000,7.800000,9936994
2022-05-11,7.730000,7.940000,7.730000,7.840000,7.840000,4511962
2022-05-12,7.840000,7.920000,7.650000,7.680000,7.680000,8695178
2022-05-13,7.700000,7.810000,7.680000,7.750000,7.750000,4610113
2022-05-16,7.850000,7.850000,7.580000,7.780000,7.780000,5505265
2022-05-17,7.780000,7.970000,7.780000,7.970000,7.970000,6504439
2022-05-18,7.970000,8.110000,7.900000,8.000000,8.000000,11812960
2022-05-19,7.910000,7.910000,7.720000,7.810000,7.810000,4174037
2022-05-20,7.810000,7.910000,7.810000,7.880000,7.880000,3847000
2022-05-23,7.860000,7.920000,7.790000,7.850000,7.850000,3155181
2022-05-24,7.800000,7.900000,7.720000,7.790000,7.790000,6395173
2022-05-25,7.790000,7.930000,7.780000,7.800000,7.800000,3537000
2022-05-26,7.850000,7.970000,7.750000,7.970000,7.970000,7338591
2022-05-27,8.060000,8.350000,8.010000,8.310000,8.310000,16568547
2022-05-30,8.360000,8.470000,8.220000,8.290000,8.290000,8930982
2022-05-31,8.300000,8.380000,8.100000,8.200000,8.200000,7148717
2022-06-01,8.210000,8.440000,8.200000,8.400000,8.400000,7139681
