Date,Open,High,Low,Close,Adj Close,Volume,Date_hk,Open_hk,High_hk,Low_hk,Close_hk,Adj Close_hk,Volume_hk,pct_change,pct_change_hk
2022-03-28,5.48,5.52,5.47,5.5,5.401079,10792700,2022-03-28,7.6,7.71,7.5,7.68,7.68,6472126,,
2022-03-29,5.51,5.53,5.45,5.5,5.401079,7343000,2022-03-29,7.68,7.69,7.4,7.5,7.5,7648800,0.0,-0.0234375
2022-03-30,5.5,5.53,5.49,5.5,5.401079,8244900,2022-03-30,7.57,7.82,7.57,7.77,7.77,7816350,0.0,0.03600000000000003
2022-03-31,5.53,5.54,5.5,5.5,5.401079,5440900,2022-03-31,7.78,7.78,7.66,7.71,7.71,4356400,0.0,-0.007722007722007707
2022-04-01,5.49,5.5,5.46,5.49,5.391259,4117500,2022-04-01,7.68,7.78,7.58,7.78,7.78,5055683,-0.0018181818181818299,0.009079118028534339
2022-04-04,5.5,5.56,5.5,5.52,5.42072,6844000,2022-04-04,7.78,7.87,7.73,7.81,7.81,5172424,0.005464480874316724,0.00385604113110527
2022-04-05,5.54,5.58,5.53,5.56,5.46,5618700,2022-04-06,7.79,7.84,7.6,7.73,7.73,7613722,0.007246376811594235,-0.010243277848911547
2022-04-06,5.56,5.57,5.44,5.44,5.342158,10710900,2022-04-07,7.75,7.75,7.48,7.53,7.53,5815539,-0.021582733812949506,-0.02587322121604141
2022-04-07,5.41,5.42,5.37,5.4,5.302878,7535800,2022-04-08,7.53,7.59,7.4,7.59,7.59,4968608,-0.007352941176470562,0.007968127490039834
2022-04-08,5.4,5.43,5.39,5.43,5.332338,3393200,2022-04-11,7.59,7.59,7.33,7.34,7.34,7487000,0.005555555555555536,-0.03293807641633728
2022-04-11,5.43,5.43,5.34,5.37,5.273417,4377200,2022-04-12,7.35,7.68,7.3,7.65,7.65,9322154,-0.011049723756906049,0.042234332425068244
2022-04-12,5.35,5.38,5.33,5.35,5.253777,3690700,2022-04-13,7.61,7.68,7.57,7.68,7.68,5496759,-0.003724394785847407,0.0039215686274509665
2022-04-13,5.39,5.42,5.37,5.4,5.302878,2787300,2022-04-14,7.77,7.77,7.6,7.7,7.7,9638169,0.009345794392523477,0.0026041666666667407
2022-04-14,5.43,5.49,5.41,5.46,5.361799,6131300,2022-04-19,7.67,7.67,7.5,7.53,7.53,6138653,0.011111111111111072,-0.02207792207792203
2022-04-18,5.43,5.45,5.4,5.4,5.302878,2331700,2022-04-20,7.55,7.56,7.37,7.39,7.39,13493182,-0.01098901098901095,-0.018592297476759723
2022-04-19,5.47,5.51,5.43,5.44,5.342158,5347600,2022-04-21,7.44,7.45,7.36,7.37,7.37,7023450,0.007407407407407307,-0.0027063599458727605
2022-04-20,5.46,5.52,5.46,5.5,5.401079,4974200,2022-04-22,7.37,7.45,7.26,7.39,7.39,5173630,0.011029411764705843,0.0027137042062415073
2022-04-21,5.5,5.53,5.48,5.52,5.42072,5049000,2022-04-25,7.47,7.75,7.45,7.66,7.66,17123776,0.0036363636363636598,0.03653585926928282
2022-04-22,5.48,5.53,5.47,5.52,5.42072,5077300,2022-04-26,7.78,7.89,7.68,7.81,7.81,15883646,0.0,0.01958224543080922
2022-04-25,5.52,5.54,5.48,5.53,5.43054,5714400,2022-04-27,7.77,7.98,7.65,7.96,7.96,15309414,0.0018115942028986698,0.019206145966709443
2022-04-26,5.54,5.55,5.49,5.5,5.401079,3475300,2022-04-28,7.97,7.97,7.77,7.84,7.84,4428000,-0.005424954792043413,-0.015075376884422176
2022-04-27,5.49,5.5,5.42,5.5,5.401079,4629300,2022-04-29,7.87,7.91,7.67,7.88,7.88,7346453,0.0,0.005102040816326481
2022-04-28,5.5,5.5,5.45,5.48,5.381439,3329300,2022-05-03,7.88,8.1,7.88,8.1,8.1,10217103,-0.0036363636363635488,0.027918781725888353
2022-04-29,5.51,5.53,5.49,5.5,5.401079,4636900,2022-05-04,8.09,8.15,8.05,8.1,8.1,5840659,0.0036496350364962904,0.0
2022-05-04,5.5,5.5,5.45,5.46,5.361799,3512000,2022-05-05,8.12,8.45,8.12,8.23,8.23,22940398,-0.0072727272727273196,0.0160493827160495
2022-05-05,5.51,5.52,5.47,5.48,5.381439,3300900,2022-05-06,8.06,8.06,7.88,7.9,7.9,11542485,0.00366300366300365,-0.04009720534629402
2022-05-06,5.43,5.44,5.35,5.37,5.273417,8527600,2022-05-10,7.8,7.85,7.62,7.8,7.8,9936994,-0.02007299270072993,-0.012658227848101333
2022-05-09,5.35,5.36,5.31,5.32,5.224317,6332200,2022-05-11,7.73,7.94,7.73,7.84,7.84,4511962,-0.009310986964618184,0.00512820512820511
2022-05-10,5.28,5.28,5.2,5.23,5.135935,7517800,2022-05-12,7.84,7.92,7.65,7.68,7.68,8695178,-0.016917293233082664,-0.020408163265306145
2022-05-11,5.24,5.28,5.22,5.25,5.155576,5208900,2022-05-13,7.7,7.81,7.68,7.75,7.75,4610113,0.003824091778202643,0.009114583333333481
2022-05-12,5.25,5.25,5.17,5.17,5.077014,7601900,2022-05-16,7.85,7.85,7.58,7.78,7.78,5505265,-0.015238095238095273,0.003870967741935516
2022-05-13,5.17,5.21,5.15,5.16,5.067194,7285300,2022-05-17,7.78,7.97,7.78,7.97,7.97,6504439,-0.0019342359767891004,0.024421593830334043
2022-05-17,5.21,5.33,5.19,5.33,5.234137,8851400,2022-05-18,7.97,8.11,7.9,8.0,8.0,11812960,0.032945736434108586,0.0037641154328733606
2022-05-18,5.35,5.5,5.35,5.43,5.332338,9916900,2022-05-19,7.91,7.91,7.72,7.81,7.81,4174037,0.018761726078799112,-0.02375000000000005
2022-05-19,5.36,5.44,5.28,5.38,5.283237,10496200,2022-05-20,7.81,7.91,7.81,7.88,7.88,3847000,-0.009208103130755041,0.008962868117797784
2022-05-20,5.4,5.48,5.39,5.47,5.371619,7037100,2022-05-23,7.86,7.92,7.79,7.85,7.85,3155181,0.016728624535315983,-0.0038071065989847552
2022-05-23,5.49,5.52,5.48,5.48,5.381439,7675000,2022-05-24,7.8,7.9,7.72,7.79,7.79,6395173,0.001828153564899626,-0.007643312101910826
2022-05-24,5.49,5.53,5.46,5.49,5.391259,7410200,2022-05-25,7.79,7.93,7.78,7.8,7.8,3537000,0.0018248175182480342,0.0012836970474967568
2022-05-25,5.5,5.52,5.46,5.48,5.381439,3763400,2022-05-26,7.85,7.97,7.75,7.97,7.97,7338591,-0.0018214936247722413,0.021794871794871717
2022-05-26,5.51,5.51,5.47,5.49,5.391259,5153700,2022-05-27,8.06,8.35,8.01,8.31,8.31,16568547,0.0018248175182480342,0.042659974905897124
2022-05-27,5.49,5.52,5.48,5.5,5.401079,3008600,2022-05-30,8.36,8.47,8.22,8.29,8.29,8930982,0.0018214936247722413,-0.002406738868832914
2022-05-30,5.51,5.52,5.5,5.51,5.4109,4022100,2022-05-31,8.3,8.38,8.1,8.2,8.2,7148717,0.0018181818181817189,-0.010856453558504175
2022-05-31,5.52,5.54,5.52,5.54,5.44036,5348100,2022-06-01,8.21,8.44,8.2,8.4,8.4,7139681,0.005444646098003769,0.024390243902439046
2022-06-01,5.5,5.53,5.49,5.51,5.4109,3939400,2022-06-02,8.33,8.33,8.15,8.24,8.24,6878005,-0.005415162454873723,-0.01904761904761909
2022-06-02,5.5,5.51,5.47,5.48,5.381439,2896400,2022-06-06,8.3,8.35,8.21,8.3,8.3,5961508,-0.005444646098003547,0.00728155339805836
2022-06-03,5.49,5.51,5.46,5.47,5.371619,2938000,2022-06-07,8.3,8.3,8.11,8.12,8.12,7734503,-0.0018248175182482562,-0.021686746987952032
2022-06-06,5.47,5.5,5.46,5.47,5.371619,2184600,2022-06-08,8.14,8.21,8.03,8.08,8.08,7239065,0.0,-0.004926108374384119
2022-06-07,5.46,5.47,5.43,5.46,5.361799,3740900,2022-06-09,8.04,8.05,7.85,7.92,7.92,12761319,-0.001828153564899404,-0.01980198019801982
2022-06-08,5.47,5.49,5.44,5.45,5.351978,2196800,2022-06-10,7.9,7.96,7.8,7.93,7.93,20547110,-0.001831501831501825,0.0012626262626262985
2022-06-09,5.43,5.45,5.33,5.36,5.263597,7181200,2022-06-13,7.81,7.83,7.68,7.78,7.78,11665229,-0.016513761467889854,-0.018915510718789386
2022-06-10,5.33,5.34,5.28,5.32,5.224317,4965500,2022-06-14,7.7,7.81,7.66,7.77,7.77,7319221,-0.007462686567164201,-0.0012853470437018677
2022-06-13,5.27,5.28,5.18,5.18,5.086834,8876400,2022-06-15,7.77,7.78,7.7,7.71,7.71,4989089,-0.026315789473684292,-0.007722007722007707
2022-06-14,5.16,5.17,5.11,5.13,5.037734,6814800,2022-06-16,7.77,7.8,7.55,7.65,7.65,8067865,-0.009652509652509633,-0.0077821011673151474
2022-06-15,5.14,5.22,5.13,5.13,5.037734,7181300,2022-06-17,7.58,7.58,7.5,7.54,7.54,7263055,0.0,-0.014379084967320321
2022-06-16,5.18,5.25,5.11,5.12,5.027914,6171500,2022-06-20,7.54,7.7,7.53,7.65,7.65,3633318,-0.0019493177387913674,0.01458885941644561
2022-06-17,5.1,5.12,5.07,5.08,4.988633,8581500,2022-06-21,7.68,7.71,7.58,7.67,7.67,2853291,-0.0078125,0.002614379084967311
